Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
cash,,,alcoholism,,,,
excitation,,,alienation,,,,
excite,,,anathema,,,,
youth,,,animosity,,,,
opera,,,antisocial,,,,
raving,,,atrocity,,,,
supremacy,,,awful,,,,
clamor,,,bad,,,,
latent,,,banish,,,,
lagging,,,bankruptcy,,,,
morals,,,banshee,,,,
tree,,,belittle,,,,
celebrity,,,bigoted,,,,
conspirator,,,bitch,,,,
opponent,,,blemish,,,,
condemnation,,,bloody,,,,
depraved,,,burke,,,,
devil,,,cancer,,,,
dictatorship,,,coercion,,,,
doomsday,,,coldness,,,,
dreadful,,,collusion,,,,
grim,,,confined,,,,
guillotine,,,convict,,,,
homeless,,,corrupting,,,,
infanticide,,,criticize,,,,
litigate,,,crucifixion,,,,
punished,,,cruel,,,,
rabid,,,cruelty,,,,
sentence,,,crushed,,,,
shackle,,,curse,,,,
stripped,,,cutting,,,,
torture,,,deadly,,,,
owing,,,delay,,,,
death,,,demon,,,,
epidemic,,,demonic,,,,
nurture,,,deplorable,,,,
powerful,,,depreciated,,,,
obliging,,,deprivation,,,,
feeling,,,derogation,,,,
treat,,,derogatory,,,,
,,,desecration,,,,
,,,desert,,,,
,,,deserted,,,,
,,,despair,,,,
,,,despotism,,,,
,,,deterioration,,,,
,,,disallowed,,,,
,,,disapprove,,,,
,,,discontent,,,,
,,,discrimination,,,,
,,,disease,,,,
,,,disfigured,,,,
,,,disgust,,,,
,,,dishonor,,,,
,,,dislocated,,,,
,,,displeased,,,,
,,,disrespectful,,,,
,,,duress,,,,
,,,dying,,,,
,,,elimination,,,,
,,,enslaved,,,,
,,,entangled,,,,
,,,eviction,,,,
,,,evil,,,,
,,,expel,,,,
,,,expulsion,,,,
,,,flog,,,,
,,,gonorrhea,,,,
,,,gore,,,,
,,,gory,,,,
,,,hanging,,,,
,,,harmful,,,,
,,,hate,,,,
,,,hateful,,,,
,,,hatred,,,,
,,,hell,,,,
,,,hellish,,,,
,,,holocaust,,,,
,,,homicide,,,,
,,,hopelessness,,,,
,,,horrid,,,,
,,,horrific,,,,
,,,hurtful,,,,
,,,ill,,,,
,,,illegal,,,,
,,,immoral,,,,
,,,imprisoned,,,,
,,,imprisonment,,,,
,,,incarceration,,,,
,,,incase,,,,
,,,incest,,,,
,,,incurable,,,,
,,,indifference,,,,
,,,infidelity,,,,
,,,inhuman,,,,
,,,insanity,,,,
,,,insulting,,,,
,,,intolerant,,,,
,,,jealousy,,,,
,,,lonely,,,,
,,,lunacy,,,,
,,,lynch,,,,
,,,mad,,,,
,,,malevolent,,,,
,,,malicious,,,,
,,,mangle,,,,
,,,massacre,,,,
,,,misery,,,,
,,,molestation,,,,
,,,morbidity,,,,
,,,murderer,,,,
,,,mutilation,,,,
,,,nasty,,,,
,,,offender,,,,
,,,offense,,,,
,,,opium,,,,
,,,oppress,,,,
,,,oppression,,,,
,,,oppressive,,,,
,,,painful,,,,
,,,perdition,,,,
,,,perpetrator,,,,
,,,persecution,,,,
,,,poaching,,,,
,,,poison,,,,
,,,poisoned,,,,
,,,poisonous,,,,
,,,poverty,,,,
,,,powerless,,,,
,,,prisoner,,,,
,,,rape,,,,
,,,recession,,,,
,,,rejection,,,,
,,,resign,,,,
,,,revoke,,,,
,,,rob,,,,
,,,robbery,,,,
,,,ruined,,,,
,,,ruinous,,,,
,,,scar,,,,
,,,schizophrenia,,,,
,,,scold,,,,
,,,sickening,,,,
,,,sin,,,,
,,,sinful,,,,
,,,sinner,,,,
,,,slaughterhouse,,,,
,,,slavery,,,,
,,,socialist,,,,
,,,sordid,,,,
,,,stigma,,,,
,,,stingy,,,,
,,,subjugation,,,,
,,,suicidal,,,,
,,,terrible,,,,
,,,terrorism,,,,
,,,theft,,,,
,,,thrash,,,,
,,,traitor,,,,
,,,tyrant,,,,
,,,ulcer,,,,
,,,undesirable,,,,
,,,unequal,,,,
,,,unfriendly,,,,
,,,unkind,,,,
,,,unlawful,,,,
,,,unlucky,,,,
,,,violently,,,,
,,,wimpy,,,,
,,,wince,,,,
,,,wrangling,,,,
,,,devastating,,,,
,,,fugitive,,,,
,,,affront,,,,
,,,attacking,,,,
,,,bang,,,,
,,,bloodshed,,,,
,,,carnage,,,,
,,,catastrophe,,,,
,,,daemon,,,,
,,,deceit,,,,
,,,disaster,,,,
,,,dismissal,,,,
,,,distress,,,,
,,,horror,,,,
,,,howl,,,,
,,,illegitimate,,,,
,,,lawsuit,,,,
,,,lose,,,,
,,,manslaughter,,,,
,,,murder,,,,
,,,murderous,,,,
,,,pitfall,,,,
,,,plunder,,,,
,,,sabotage,,,,
,,,senseless,,,,
,,,slaughter,,,,
,,,slaughtering,,,,
,,,slayer,,,,
,,,strangle,,,,
,,,terrorist,,,,
,,,thief,,,,
,,,trickery,,,,
,,,victimized,,,,
,,,wreck,,,,
,,,divorce,,,,
,,,notoriety,,,,
,,,honest,,,,
